,gbif_id
246,2689197
247,2689205
248,2689210
249,2689212
250,2689217
251,2689218
252,2689329
253,2689429
254,2689446
255,2689507
256,2689592
257,2700726
258,2700736
259,2700785
260,2700795
261,2700828
262,2700859
263,2700934
264,2701078
265,2701151
266,2701261
267,2701297
268,2701311
269,2701418
270,2701727
271,2701799
272,2701896
273,2701930
274,2701939
275,2701983
276,2702048
277,2702717
278,2702789
279,2703146
280,2703250
281,2703336
282,2703777
283,2703793
284,2704160
285,2704178
286,2704179
287,2704207
288,2704218
289,2704234
290,2704261
291,2704265
292,2704300
293,2704323
294,2704353
295,2704505
296,2704669
297,2704674
298,2704687
299,2704806
300,2704883
301,2704922
302,2704930
303,2704940
304,2704951
305,2705290
306,2705308
307,2705315
308,2705495
309,2705701
310,2705966
311,2705975
312,2706008
313,2706056
314,2706196
315,2706241
316,2706368
317,2706435
318,2706458
319,2706465
320,2706490
321,2706518
322,2706649
323,2709988
324,2710326
325,2710560
326,2710592
327,2710648
328,2717493
329,2717570
330,2717910
331,2718307
332,2721119
333,2721897
334,2722046
335,2722359
336,2722383
337,2722602
338,2722760
339,2722817
340,2722926
341,2722942
342,2722950
343,2722973
344,2723188
345,2723340
346,2723500
347,2723767
348,2723925
349,2724253
350,2724284
351,2724361
352,2724517
353,2724554
354,2724584
355,2724609
356,2724868
357,2724869
358,2724925
359,2725309
360,2725388
361,2725414
362,2725816
363,2726010
364,2726097
365,2726445
366,2726545
367,2726592
368,2726614
369,2726673
370,2726725
371,2726880
372,2726894
373,2726956
374,2727038
375,2727181
376,2727266
377,2727294
378,2727655
379,2727907
380,2727938
381,2728174
382,2728183
383,2728281
384,2728531
385,2728838
386,2728870
387,2728963
388,2729081
389,2729473
390,2729936
391,2729937
392,2730127
393,2730185
394,2730210
395,2730240
396,2768885
397,2769317
398,2770004
399,2770228
400,2791364
401,2792588
402,2797313
403,2797913
404,2808211
405,2810284
406,2810689
407,2810731
408,2816176
409,2816250
410,2820517
411,2849427
412,2857071
413,2857601
414,2864429
415,2865260
416,2865280
417,2865368
418,2873815
419,2873865
420,2875008
421,2875979
422,2876213
423,2882482
424,2882580
425,2882793
426,2882833
427,2882835
428,2883075
429,2888272
430,2888310
431,2888605
432,2888741
433,2888808
434,2888811
435,2888946
436,2888951
437,2888992
438,2888995
439,2889262
440,2889299
441,2889358
442,2890560
443,2890668
444,2890920
445,2891147
446,2891304
447,2891779
448,2913130
449,2913365
450,2913548
451,2913556
452,2913931
453,2914338
454,2914547
455,2914642
456,2926612
457,2926682
458,2926759
459,2926945
460,2927116
461,2927192
462,2927245
463,2927282
464,2927850
465,2928441
466,2932737
467,2964355
468,2971042
469,2971095
470,2974786
471,2974793
472,2975287
473,2977171
474,2984535
475,2985688
476,2986129
477,2987999
478,2988069
479,2992808
480,2993094
481,2998290
482,3001956
483,3002263
484,3003979
485,3012167
486,3020532
487,3020791
488,3021037
489,3023221
490,3025029
491,3025673
492,3026293
493,3027437
494,3027452
495,3027485
496,3027538
497,3027640
498,3027648
499,3027791
500,3028176
501,3028402
502,3028763
503,3029817
504,3032585
505,3032719
506,3032756
507,3032776
508,3032783
509,3032796
510,3032833
511,3032869
512,3033129
513,3033134
514,3033263
515,3033266
516,3033289
517,3033339
518,3033354
519,3033363
520,3033374
521,3033446
522,3033461
523,3033605
524,3033894
525,3034133
526,3034391
527,3034620
528,3034714
529,3034798
530,3039454
531,3039491
532,3040249
533,3042644
534,3045463
535,3045704
536,3045858
537,3045931
538,3046044
539,3046155
540,3048266
541,3048674
542,3048831
543,3049396
544,3049444
545,3049571
546,3049612
547,3049679
548,3049757
549,3049770
550,3049881
551,3050148
552,3050163
553,3050177
554,3050272
555,3050364
556,3052436
557,3052680
558,3053168
559,3054168
560,3064056
561,3066367
562,3083541
563,3083660
564,3083696
565,3083786
566,3083838
567,3085370
568,3085388
569,3085390
570,3085396
571,3085402
572,3085407
573,3085434
574,3085444
575,3085450
576,3085458
577,3085480
578,3085503
579,3085776
580,3085810
581,3085811
582,3085873
583,3085895
584,3087634
585,3088323
586,3093693
587,3098616
588,3104173
589,3104179
590,3104537
591,3105380
592,3105782
593,3105813
594,3107855
595,3108983
596,3113239
597,3113414
598,3113650
599,3113745
600,3118057
601,3118274
602,3120060
603,3120333
604,3120946
605,3121461
606,3121563
607,3128547
608,3133512
609,3134857
610,3134951
611,3135329
612,3135561
613,3139040
614,3147080
615,3147144
616,3147301
617,3149879
618,3169326
619,3169358
620,3169386
621,3169852
622,3169899
623,3170097
624,3170807
625,3170886
626,3171711
627,3171712
628,3171734
629,3171945
630,3171959
631,3171980
632,3172043
633,3172048
634,3172049
635,3172050
636,3172054
637,3172057
638,3172059
639,3172062
640,3172072
641,3172082
642,3172116
643,3172211
644,3172300
645,3172358
646,3188736
647,3188743
648,3188794
649,3188797
650,3189068
651,3189080
652,3189153
653,3189158
654,3189174
655,3189486
656,3189645
657,3189747
658,3189755
659,3189767
660,3189846
661,3190932
662,3191030
663,3191157
664,3191374
665,3191414
666,3229708
667,3390030
668,3391629
669,3392806
670,3407931
671,3412864
672,3423777
673,3426010
674,3426392
675,3426404
676,3431348
677,3431565
678,3434752
679,3602353
680,3612876
681,3666788
682,3735603
683,3753330
684,3753813
685,3757720
686,3758161
687,3816070
688,3840575
689,3901967
690,3928615
691,3928928
692,3992299
693,4007442
694,4088825
695,4104731
696,4106164
697,4108861
698,4109084
699,4112404
700,4112836
701,4117021
702,4118973
703,4120440
704,4120665
705,4125878
706,4126109
707,4126174
708,4130991
709,4133640
710,4139238
711,4144915
712,4149465
713,4151143
714,4270535
715,4276645
716,4276912
717,4276969
718,4278752
719,4279191
720,4279479
721,4279903
722,4280088
723,4280791
724,4280844
725,4889932
726,4921778
727,4921779
728,5238786
729,5257627
730,5258341
731,5260484
732,5260486
733,5260489
734,5260496
735,5260510
736,5260521
737,5260557
738,5260758
739,5261195
740,5261197
741,5261206
742,5261338
743,5261340
744,5261360
745,5261362
746,5261370
747,5261371
748,5261373
749,5261384
750,5261385
751,5261391
752,5261396
753,5261403
754,5261526
755,5270837
756,5274951
757,5275012
758,5275044
759,5275045
760,5275066
761,5275102
762,5275132
763,5275316
764,5280020
765,5280149
766,5280154
767,5280231
768,5280675
769,5280927
770,5281267
771,5281431
772,5281453
773,5281481
774,5281515
775,5281632
776,5281645
777,5281758
778,5282184
779,5282299
780,5282428
781,5282505
782,5282529
783,5282607
784,5282610
785,5282635
786,5282688
787,5282690
788,5282711
789,5282904
790,5282914
791,5283402
792,5283423
793,5283424
794,5283502
795,5283520
796,5283780
797,5283946
798,5283962
799,5283964
800,5283980
801,5284884
802,5285637
803,5286294
804,5286350
805,5286358
806,5286360
807,5286361
808,5286381
809,5289582
810,5289756
811,5289773
812,5289845
813,5289877
814,5290056
815,5290058
816,5290083
817,5290087
818,5290090
819,5290140
820,5290146
821,5290149
822,5290319
823,5295911
824,5298231
825,5300245
826,5306901
827,5318958
828,5331235
829,5331258
830,5331268
831,5331325
832,5331347
833,5331355
834,5331391
835,5331916
836,5332004
837,5333323
838,5333379
839,5333412
840,5333413
841,5334190
842,5334208
843,5334217
844,5334220
845,5334259
846,5334277
847,5334283
848,5341170
849,5341182
850,5341184
851,5341190
852,5341246
853,5341297
854,5341300
855,5341303
856,5341305
857,5341443
858,5341478
859,5341511
860,5343710
861,5345014
862,5346998
863,5352367
864,5356393
865,5356623
866,5356701
867,5356704
868,5356714
869,5357013
870,5358748
871,5358812
872,5358935
873,5359246
874,5361156
875,5361815
876,5362007
877,5362008
878,5362038
879,5365576
880,5365824
881,5366340
882,5366510
883,5366873
884,5367620
885,5369652
886,5369701
887,5371473
888,5371685
889,5371699
890,5371742
891,5371780
892,5371809
893,5371818
894,5372554
895,5372605
896,5372647
897,5372693
898,5372706
899,5372778
900,5372829
901,5372876
902,5373083
903,5373276
904,5373421
905,5373533
906,5373826
907,5374614
908,5374863
909,5375020
910,5375388
911,5376000
912,5376075
913,5376179
914,5383726
915,5384492
916,5384598
917,5384604
918,5384607
919,5384616
920,5384620
921,5384660
922,5384671
923,5384754
924,5384781
925,5384795
926,5385561
927,5385604
928,5389029
929,5390848
930,5391095
931,5391710
932,5391862
933,5394023
934,5394085
935,5394163
936,5403296
937,5403508
938,5404542
939,5405976
940,5410436
941,5410907
942,5411408
943,5411475
944,5411919
945,5412014
946,5414202
947,5414323
948,5414469
949,5414995
950,5415020
951,5415065
952,5420852
953,5470072
954,5472694
955,5531229
956,5567575
957,5567578
958,5585088
959,5586736
960,5602614
961,5605894
962,5664390
963,5687974
964,5708780
965,5710061
966,5710073
967,5710075
968,5710080
969,5710096
970,5710214
971,5710240
972,5710930
973,5836563
974,5894842
975,5939583
976,6027128
977,6035873
978,6109535
979,6345640
980,6363434
981,6363496
982,6364299
983,6364634
984,6369193
985,6374443
986,6375524
987,6391150
988,6391194
989,6400569
990,6428353
991,6431455
992,6437017
993,6446462
994,6449159
995,6606832
996,6607819
997,6609452
998,6610778
999,6612242
1000,6754728
1001,7065260
1002,7070297
1003,7096053
1004,7103891
1005,7103992
1006,7104074
1007,7225596
1008,7226847
1009,7226886
1010,7227967
1011,7246646
1012,7246653
1013,7246667
1014,7246697
1015,7247041
1016,7247092
1017,7247205
1018,7248528
1019,7248995
1020,7266593
1021,7266759
1022,7270427
1023,7270598
1024,7292151
1025,7293605
1026,7295092
1027,7296242
1028,7296247
1029,7296321
1030,7314960
1031,7315537
1032,7319269
1033,7327868
1034,7327920
1035,7331633
1036,7333052
1037,7334631
1038,7339315
1039,7376166
1040,7380493
1041,7411883
1042,7430843
1043,7439391
1044,7444070
1045,7459211
1046,7459480
1047,7470937
1048,7473187
1049,7475861
1050,7486652
1051,7493910
1052,7501261
1053,7506619
1054,7527936
1055,7529713
1056,7530037
1057,7565449
1058,7572816
1059,7580531
1060,7589756
1061,7598487
1062,7601217
1063,7603659
1064,7608669
1065,7615595
1066,7622278
1067,7651211
1068,7653258
1069,7680399
1070,7693914
1071,7696043
1072,7719474
1073,7749266
1074,7758330
1075,7768329
1076,7768497
1077,7792960
1078,7795888
1079,7807570
1080,7817064
1081,7821030
1082,7845022
1083,7862893
1084,7871586
1085,7874883
1086,7887000
1087,7892639
1088,7903868
1089,7904558
1090,7911410
1091,7918641
1092,7919331
1093,7924597
1094,7926811
1095,7931051
1096,7933553
1097,7941056
1098,7952995
1099,7957163
1100,7958539
1101,7960979
1102,7972010
1103,8011540
1104,8034713
1105,8048496
1106,8068424
1107,8073364
1108,8087525
1109,8089871
1110,8108066
1111,8128391
1112,8132213
1113,8144051
1114,8153621
1115,8165236
1116,8184903
1117,8186928
1118,8188960
1119,8188970
1120,8190643
1121,8191827
1122,8195144
1123,8207244
1124,8208358
1125,8211958
1126,8226247
1127,8227194
1128,8228544
1129,8229935
1130,8232782
1131,8248593
1132,8250334
1133,8272844
1134,8273238
1135,8279158
1136,8285546
1137,8285827
1138,8285962
1139,8300875
1140,8300994
1141,8312717
1142,8323622
1143,8324121
1144,8336103
1145,8339890
1146,8342817
1147,8345757
1148,8348125
1149,8350824
1150,8353084
1151,8353146
1152,8366345
1153,8368371
1154,8377689
1155,8386948
1156,8395064
1157,8400367
1158,8400458
1159,8405127
1160,8406661
1161,8407946
1162,8418702
1163,8428006
1164,8429926
1165,8448846
1166,8475761
1167,8490890
1168,8541101
1169,8547806
1170,8548704
1171,8550835
1172,8587121
1173,8590518
1174,8597701
1175,8605056
1176,8621148
1177,8622852
1178,8639340
1179,8647102
1180,8657424
1181,8848598
1182,8871572
1183,8925249
1184,8930531
1185,8934912
1186,8952395
1187,8998684
1188,9002189
1189,9004024
1190,9011379
1191,9011521
1192,9063248
1193,9075436
1194,9094061
1195,9100915
1196,9118014
1197,9137787
1198,9148577
1199,9148812
1200,9153437
1201,9172281
1202,9188840
1203,9202524
1204,9213153
1205,9245228
1206,9375586
1207,9424497
1208,9437812
1209,9453207
1210,9458333
1211,9462026
1212,9485490
1213,9509071
1214,9673315
1215,9823570
1216,9995225
1217,10025353
1218,10027741
1219,10448252
1220,10657796
1221,10673235
1222,10685814
1223,10742591
1224,10760205
1225,10790895
1226,10808395
1227,10843163
1228,10859214
1229,11103124
